task_id,SPEC_consumer-typecheck-materialize-residue,SPEC_docs-materialize-frontdoor-drift,SPEC_runtime-error-reading-basis-guidance,BND_checkpoint-schema-contract-drift,PORT_patch-controller-reading-basis,PORT_checkpoint-controller-reading-basis,PORT_subscription-controller-reading-basis,PORT_sync-controller-reading-basis,SPEC_materialize-spy-test-clusters,SPEC_observer-coordinate-pinning,SPEC_checkpoint-materialize-test-drift,SPEC_uniform-git-cas-upgrade-contract-drift,HEX_sync-secret-plain-string,HEX_sync-production-auth-defaults,HEX_sync-no-rate-limiting,HEX_sync-500-sanitization,REL_quarantine-graduate-clean,REL_full-gate-matrix-green,REL_release-cut-version-changelog,REL_release-preflight-and-rc,REL_push-pr-review-merge
SPEC_consumer-typecheck-materialize-residue,,,,,,,,,,,,,,,,,,,,,
SPEC_docs-materialize-frontdoor-drift,,,,,,,,,,,,,,,,,,,,,
SPEC_runtime-error-reading-basis-guidance,,X,,,,,,,,,,,,,,,,,,,
BND_checkpoint-schema-contract-drift,,,,,,,,,,,,,,,,,,,,,
PORT_patch-controller-reading-basis,,,,,,,,,,,,,,,,,,,,,
PORT_checkpoint-controller-reading-basis,,,,X,,,,,,,,,,,,,,,,,
PORT_subscription-controller-reading-basis,,,,,X,,,,,,,,,,,,,,,,
PORT_sync-controller-reading-basis,,,,,,,,,,,,,,,,,,,,,
SPEC_materialize-spy-test-clusters,X,X,X,,X,X,X,X,,,,,,,,,,,,,
SPEC_observer-coordinate-pinning,,,,,,,,,,,,,,,,,,,,,
SPEC_checkpoint-materialize-test-drift,,,,X,,,,,,,,,,,,,,,,,
SPEC_uniform-git-cas-upgrade-contract-drift,,,,,,,,,,,,,,,,,,,,,
HEX_sync-secret-plain-string,,,,,,,,,,,,,,,,,,,,,
HEX_sync-production-auth-defaults,,,,,,,,,,,,,X,,,,,,,,
HEX_sync-no-rate-limiting,,,,,,,,,,,,,,X,,,,,,,
HEX_sync-500-sanitization,,,,,,,,,,,,,,X,,,,,,,
REL_quarantine-graduate-clean,,,,X,X,X,X,X,,X,,,X,X,X,X,,,,,
REL_full-gate-matrix-green,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,,,,
REL_release-cut-version-changelog,,,,,,,,,,,,,,,,,,X,,,
REL_release-preflight-and-rc,,,,,,,,,,,,,,,,,,,X,,
REL_push-pr-review-merge,,,,,,,,,,,,,,,,,,,,X,
